,season,seasonNumber,series,episode,inCompetition,immune,chef,challengeType,outcome,rating
261,All Stars: New York,8.0,US,8.0,False,False,Casey T.,Elimination,,
262,All Stars: New York,8.0,US,8.0,False,False,Dale L.,Elimination,,
263,All Stars: New York,8.0,US,8.0,False,False,Elia A.,Elimination,,
264,All Stars: New York,8.0,US,8.0,False,False,Jamie L.,Elimination,,
265,All Stars: New York,8.0,US,8.0,False,False,Jennifer C.,Elimination,,
266,All Stars: New York,8.0,US,8.0,False,False,Marcel V.,Elimination,,
267,All Stars: New York,8.0,US,8.0,False,False,Spike M.,Elimination,,
268,All Stars: New York,8.0,US,8.0,False,False,Stephen A.,Elimination,,
269,All Stars: New York,8.0,US,8.0,False,False,Tiffani F.,Elimination,,
270,All Stars: New York,8.0,US,9.0,True,False,Angelo S.,Quickfire,HIGH,
271,All Stars: New York,8.0,US,9.0,True,False,Antonia L.,Quickfire,HIGH,
272,All Stars: New York,8.0,US,9.0,True,False,Carla H.,Quickfire,IN,
273,All Stars: New York,8.0,US,9.0,True,False,Dale T.,Quickfire,WIN,
274,All Stars: New York,8.0,US,9.0,True,False,Fabio V.,Quickfire,LOW,
275,All Stars: New York,8.0,US,9.0,True,False,Mike I.,Quickfire,LOW,
276,All Stars: New York,8.0,US,9.0,True,False,Richard B.,Quickfire,IN,
277,All Stars: New York,8.0,US,9.0,True,False,Tiffany D.,Quickfire,LOW,
278,All Stars: New York,8.0,US,9.0,False,False,Casey T.,Quickfire,,
279,All Stars: New York,8.0,US,9.0,False,False,Dale L.,Quickfire,,
280,All Stars: New York,8.0,US,9.0,False,False,Elia A.,Quickfire,,
281,All Stars: New York,8.0,US,9.0,False,False,Jamie L.,Quickfire,,
282,All Stars: New York,8.0,US,9.0,False,False,Jennifer C.,Quickfire,,
283,All Stars: New York,8.0,US,9.0,False,False,Marcel V.,Quickfire,,
284,All Stars: New York,8.0,US,9.0,False,False,Spike M.,Quickfire,,
285,All Stars: New York,8.0,US,9.0,False,False,Stephen A.,Quickfire,,
286,All Stars: New York,8.0,US,9.0,False,False,Tiffani F.,Quickfire,,
287,All Stars: New York,8.0,US,9.0,False,False,Tre W.,Quickfire,,
288,All Stars: New York,8.0,US,9.0,True,False,Angelo S.,Elimination,HIGH,
289,All Stars: New York,8.0,US,9.0,True,False,Antonia L.,Elimination,HIGH,
290,All Stars: New York,8.0,US,9.0,True,False,Carla H.,Elimination,WIN,
291,All Stars: New York,8.0,US,9.0,True,False,Dale T.,Elimination,LOW,
